date0;time0;power-ss13-max;power-ss13-min;power-ss13-ave;date1;time1;power-gen-max;power-gen-min;power-gen-ave;date2;time2;power-con-max;power-con-min;power-con-ave;date3;time3;power-gen-wt-max;power-gen-wt-min;power-gen-wt-ave;date4;time4;power-gen-pv-max;power-gen-pv-min;power-gen-pv-ave;date5;time5;storage-charge-max;storage-charge-min;storage-charge-ave
08/01/2023;12:00:00 am;1192.989;1192.989;1192.989;08/01/2023;12:00:00 am;58.047;58.047;58.047;08/01/2023;12:00:00 am;1215.434;1215.434;1215.434;08/01/2023;12:00:00 am;26.344;26.344;26.344;08/01/2023;12:00:00 am;-2.744;-2.744;-2.744;08/01/2023;12:00:00 am;55.000;55.000;55.000
08/01/2023;12:05:00 am;1288.229;1288.229;1288.229;08/01/2023;12:05:00 am;22.438;22.438;22.438;08/01/2023;12:05:00 am;1318.977;1318.977;1318.977;08/01/2023;12:05:00 am;34.621;34.621;34.621;08/01/2023;12:05:00 am;-2.717;-2.717;-2.717;08/01/2023;12:05:00 am;55.000;55.000;55.000
08/01/2023;12:10:00 am;1270.447;1270.447;1270.447;08/01/2023;12:10:00 am;30.748;30.748;30.748;08/01/2023;12:10:00 am;1303.488;1303.488;1303.488;08/01/2023;12:10:00 am;36.964;36.964;36.964;08/01/2023;12:10:00 am;-2.747;-2.747;-2.747;08/01/2023;12:10:00 am;55.000;55.000;55.000
08/01/2023;12:15:00 am;1221.720;1221.720;1221.720;08/01/2023;12:15:00 am;33.041;33.041;33.041;08/01/2023;12:15:00 am;1253.410;1253.410;1253.410;08/01/2023;12:15:00 am;35.630;35.630;35.630;08/01/2023;12:15:00 am;-2.774;-2.774;-2.774;08/01/2023;12:15:00 am;55.000;55.000;55.000
08/01/2023;12:20:00 am;1272.245;1272.245;1272.245;08/01/2023;12:20:00 am;31.033;31.033;31.033;08/01/2023;12:20:00 am;1272.104;1272.104;1272.104;08/01/2023;12:20:00 am;3.232;3.232;3.232;08/01/2023;12:20:00 am;-2.748;-2.748;-2.748;08/01/2023;12:20:00 am;55.000;55.000;55.000
08/01/2023;12:25:00 am;1242.211;1242.211;1242.211;08/01/2023;12:25:00 am;-0.674;-0.674;-0.674;08/01/2023;12:25:00 am;1266.491;1266.491;1266.491;08/01/2023;12:25:00 am;28.187;28.187;28.187;08/01/2023;12:25:00 am;-2.756;-2.756;-2.756;08/01/2023;12:25:00 am;55.000;55.000;55.000
08/01/2023;12:30:00 am;1212.726;1212.726;1212.726;08/01/2023;12:30:00 am;24.280;24.280;24.280;08/01/2023;12:30:00 am;1273.606;1273.606;1273.606;08/01/2023;12:30:00 am;64.793;64.793;64.793;08/01/2023;12:30:00 am;-2.758;-2.758;-2.758;08/01/2023;12:30:00 am;55.000;55.000;55.000
08/01/2023;12:35:00 am;1236.130;1236.130;1236.130;08/01/2023;12:35:00 am;60.884;60.884;60.884;08/01/2023;12:35:00 am;1253.411;1253.411;1253.411;08/01/2023;12:35:00 am;20.630;20.630;20.630;08/01/2023;12:35:00 am;-2.754;-2.754;-2.754;08/01/2023;12:35:00 am;55.000;55.000;55.000
08/01/2023;12:40:00 am;1195.989;1195.989;1195.989;08/01/2023;12:40:00 am;16.708;16.708;16.708;08/01/2023;12:40:00 am;1217.987;1217.987;1217.987;08/01/2023;12:40:00 am;26.272;26.272;26.272;08/01/2023;12:40:00 am;-2.733;-2.733;-2.733;08/01/2023;12:40:00 am;55.000;55.000;55.000
08/01/2023;12:45:00 am;1205.804;1205.804;1205.804;08/01/2023;12:45:00 am;21.627;21.627;21.627;08/01/2023;12:45:00 am;1270.443;1270.443;1270.443;08/01/2023;12:45:00 am;68.534;68.534;68.534;08/01/2023;12:45:00 am;-2.741;-2.741;-2.741;08/01/2023;12:45:00 am;55.000;55.000;55.000
